date_time,search_count,job_id,job_title,company,location,update_time,applicants,job_time,job_level,job_type,company_size,company_industry,job_details
17Jun2024-14:05:59,184,3932132986,Senior Software Engineer,HCLTech,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Back-End Web Development, Computer Science, Holistic Health, Intellectual, Problem Solving, Programming, and Software Development"
17Jun2024-14:06:14,184,3931634362,"Sr Coordinator, Data Management",Cardinal Health,"Bengaluru, Karnataka, India",3 weeks ago,45 applicants,,,Full-time Entry level,"10,001+ employees",Hospitals and Health Care,"Analytical Skills, Data Analytics, Data Entry, Data Management, Data Strategies, Database Administration, Databases, Marketing, and Training"
17Jun2024-14:07:00,184,3938886149,Data Management Engineer,,,,,,,On-site Full-time Entry level,,,
17Jun2024-14:07:46,184,3938886148,Data Management Engineer,,,,,,,On-site Full-time Entry level,,,
17Jun2024-14:08:31,184,3938886146,Data Management Engineer,,,,,,,On-site Full-time Entry level,,,
17Jun2024-14:09:17,184,3938884349,Data Management Engineer,,,,,,,On-site Full-time Entry level,,,
17Jun2024-14:10:02,184,3938881656,Data Management Engineer,,,,,,,On-site Full-time Entry level,,,
17Jun2024-14:10:18,184,3939736689,Capital Projects Associate,Accenture in India,"Bengaluru, Karnataka, India",Reposted 1 week ago,10 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Capital Projects, Communication, Data Analysis, Data Analytics, Document Management, EDRMS, Electronic Document, Independent Contributor, Low Carbon, and Problem Solving"
17Jun2024-14:10:34,184,3939735741,Capital Projects Associate,Accenture in India,"Bengaluru, Karnataka, India",Reposted 1 week ago,9 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Capital Projects, Communication, Data Analysis, Data Analytics, Document Management, EDRMS, Electronic Document, Independent Contributor, Low Carbon, and Problem Solving"
17Jun2024-14:10:49,184,3930814473,Informatica ETL Developer,Alp Consulting Ltd.,"Bengaluru, Karnataka, India",4 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Staffing and Recruiting,"Application Support, Data Warehousing, DataStage, Database Optimization, Databases, Extract, Transform, Load (ETL), Informatica, PL/SQL, PowerCenter, and SQL Tuning"
17Jun2024-14:11:05,184,3924677011,Senior Software Engineer (Backend),nference,"Bengaluru, Karnataka, India",4 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,201-500 employees,Biotechnology Research,"Apache Spark, Big Data, Data Structures, Distributed Systems, Hadoop, Kubernetes, and Python (Programming Language)"
17Jun2024-14:11:20,184,3932437348,Finance Support,Momentive,"Bengaluru East, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"5,001-10,000 employees",Chemical Manufacturing,"Accruals, Budgeting, Finance, Financial Reporting, Key Performance Indicators, Margin Analysis, Presentations, Reporting & Analysis, Statutory Accounting Principles (SAP), and Transfer Pricing"
17Jun2024-14:11:51,184,3935032589,US Mortgage Process,CIEL HR,"Bangalore Urban, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,,,
17Jun2024-14:12:07,184,3894396109,SME II - Semiconductor Product Validation,UST,"Bengaluru, Karnataka, India",Reposted 4 days ago,21 applicants,,,Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Adaptation, Communication, Computer System Validation, Equipment Qualification, Process Validation, Product Demonstration, and Quality Assurance"
17Jun2024-14:12:53,184,3938097174,Thoucentric - SAP MDG Consultant,,,,,,,Full-time Entry level,,,
17Jun2024-14:13:08,184,3939735828,Capital Projects Associate,Accenture in India,"Bengaluru, Karnataka, India",Reposted 1 week ago,10 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Capital Projects, Communication, Data Analysis, Data Analytics, Document Management, EDRMS, Electronic Document, Independent Contributor, Low Carbon, and Problem Solving"
17Jun2024-14:13:24,184,3939733948,Capital Projects Associate,Accenture in India,"Bengaluru, Karnataka, India",Reposted 1 week ago,9 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Capital Projects, Communication, Data Analysis, Data Analytics, Document Management, EDRMS, Electronic Document, Independent Contributor, Low Carbon, and Problem Solving"
17Jun2024-14:13:40,184,3939733835,Capital Projects Associate,Accenture in India,"Bengaluru, Karnataka, India",Reposted 1 week ago,16 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Capital Projects, Communication, Data Analysis, Data Analytics, Document Management, EDRMS, Electronic Document, Independent Contributor, Low Carbon, and Problem Solving"
17Jun2024-14:13:55,184,3938947206,Capital Projects Associate,Accenture in India,"Bengaluru, Karnataka, India",Reposted 1 week ago,16 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Capital Projects, Communication, Data Analysis, Data Analytics, Document Management, EDRMS, Electronic Document, Independent Contributor, Low Carbon, and Problem Solving"
17Jun2024-14:14:26,184,3920854450,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-14:14:41,184,3937338721,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-14:14:57,184,3920856201,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-14:15:12,184,3920853446,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-14:15:28,184,3914443056,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-14:15:43,184,3920856202,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-14:15:59,184,3914437969,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-14:16:15,184,3933787712,Managed Services -Data Analytics Specialist - BI Engineer-Specialist,PwC,"Bengaluru, Karnataka, India",3 weeks ago,55 applicants,,,On-site Full-time Entry level,"10,001+ employees",Professional Services,"Data Analytics, Data Governance, Data Privacy, Managed Services, Master Data Management, Metadata, Metadata Management, Problem Management, Professional Skills, and Service-Level Agreements (SLA)"
17Jun2024-14:16:30,184,3941412822,Data Management Engineer,Koch Industries,"Bengaluru, Karnataka, India",1 week ago,30 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
