date_time,search_count,job_id,job_title,company,location,update_time,applicants,job_time,job_level,job_type,company_size,company_industry,job_details
17Jun2024-13:51:14,184,3936959997,Business Analyst,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",2 weeks ago,97 applicants,,,Full-time Entry level,11-50 employees,"Technology, Information and Internet","Analytical Skills, Business Analysis, Business Requirements, Capacity Planning, Data Analysis, Data Analytics, Data Science, IBM SPSS, Problem Solving, and SAS (Software)"
17Jun2024-13:51:29,184,3933153881,Junior Market Research Specialist in Bangalore,StrategyCo.Global,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,11-50 employees,Business Consulting and Services,"Analytical Skills, Communication, Data Analysis, Data Analytics, Identifying New Opportunities, Microbiology, Microsoft Dynamics, Molecular Biology, Statistics, and Western Blotting"
17Jun2024-13:52:15,184,3936984837,Data ananlytics trainer,,,,,,,On-site Full-time,,,
17Jun2024-13:52:31,184,3937730686,Business Analyst - ATS SNOP,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",2 weeks ago,21 applicants,,,Full-time Entry level,11-50 employees,"Technology, Information and Internet","Analytical Support, Business Analysis, Capacity Planning, Data Analytics, IBM SPSS, Macros, Organization Skills, SAS (Software), SQL, and Written Communication"
17Jun2024-13:52:46,184,3895002338,Associate - Digital Marketing BI Developer,AstraZeneca,"Bengaluru East, Karnataka, India",Reposted 2 days ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Pharmaceutical Manufacturing,"Ad Serving, Critical Thinking, Data Models, Digital Marketing, Marketing Reporting, Qlik Sense, Snowflake, Snowflake Cloud, Thinking Skills, and Veeva CRM"
17Jun2024-13:53:07,184,3932611694,Software Developer 4,,,,,,,Full-time Entry level,11-50 employees,"Technology, Information and Internet","Cascading Style Sheets (CSS), Coding Standards, Computer Science, Debugging, Design Specifications, Functionality, HTML, JavaBeans, Problem Solving, and Product Requirements"
17Jun2024-13:53:23,184,3826630440,Associate Application Developer - Data Engineering,MillerKnoll,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Design Services,"Business Requirements, Data Analytics, Data Engineering, Data Warehousing, ETL Tools, English as a Second Language (ESL), Extract, Transform, Load (ETL), Oil Pipeline Development, User Requirements, and Workflow Design"
17Jun2024-13:53:38,184,3770860336,EDA Workflow Optimization Engineer,NVIDIA,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Computer Hardware Manufacturing,"Application-Specific Integrated Circuits (ASIC), C++, Communication, Debugging, Digital Designs, EDA, Export Control Compliance, Python (Programming Language), RTL Verification, and Very-Large-Scale Integration (VLSI)"
17Jun2024-13:53:54,184,3923244773,Platform and Silicon Validation Engineer,NVIDIA,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Computer Hardware Manufacturing,"Analog Semiconductors, Communication, Data Acquisition, Electrical Characterization, PCIe, and SerDes"
17Jun2024-13:54:10,184,3930181739,"Sr Coordinator, Data Management",Cardinal Health,"Bengaluru, Karnataka, India",Reposted 5 days ago,56 applicants,,,Full-time Entry level,"10,001+ employees",Hospitals and Health Care,"Analytical Skills, Data Analytics, Data Entry, Data Management, Data Strategies, Database Administration, Databases, Marketing, and Training"
17Jun2024-13:54:31,184,3934820053,Returnship-Engineering,,,,,,,On-site Full-time Entry level,201-500 employees,Oil and Gas,"Communication, Flow Assurance, Inversion, Low Carbon, Mathematical Programming, Process Design, Reliability, Reservoir Management, Seismic Enablement Cloud, and Subsea Engineering"
17Jun2024-13:54:56,184,3920857144,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-13:55:11,184,3935135627,"R&amp;D Associate Engineer - Data Science in Bangalore, Karnataka, India | ABB",ABB,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Automation Machinery Manufacturing,"Computer Science, Data Cleaning, Data Engineering, Data Science, Exploratory Data Analysis, Hypothesis Testing, Industry standards, Process Automation, Programming Languages, and Unsupervised Learning"
17Jun2024-13:55:42,184,3940796023,Anamoly Detection Engineer,CognoticAI LLC.,"Bengaluru, Karnataka, India",2 weeks ago,3 applicants,,,On-site Full-time Entry level,,,
17Jun2024-13:55:58,184,3933789263,Data Engineer,Alp Consulting Ltd.,"Bengaluru, Karnataka, India",3 weeks ago,45 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Staffing and Recruiting,"Data Analytics, Data Engineering, Data Manipulation, Data Modeling, Data Models, Data Science, Extract, Transform, Load (ETL), Problem Solving, Reporting Requirements, and Scala"
17Jun2024-13:56:19,184,3933778818,Managed Services -Data Analytics- Data Engineer-Specialist,,,,,,,On-site Full-time Entry level,"10,001+ employees",Professional Services,"Analytical Skills, Communication, Computer Science, Data Engineering, Managed Services, Problem Solving, Production Support, Relational Databases, Resolving Issues, and System Performance"
17Jun2024-13:56:34,184,3933161047,Business Analyst,Accenture in India,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,16 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Analytics, Business Process, Business Requirements, Business Solution, Communication, Computer System Validation, Computerized System Validation (CSV), Customer Requirements, Problem Solving, and Requirements Gathering"
17Jun2024-13:56:50,184,3937901933,Managed Services -Data Analytics Specialist - BI Engineer-Specialist,PwC,"Bengaluru, Karnataka, India",2 weeks ago,86 applicants,,,On-site Full-time Entry level,"10,001+ employees",Professional Services,"Data Analytics, Data Governance, Data Privacy, Managed Services, Master Data Management, Metadata, Metadata Management, Problem Management, Professional Skills, and Service-Level Agreements (SLA)"
17Jun2024-13:57:11,184,3932091861,Temp Staff,,,,,,,Full-time Entry level,11-50 employees,"Technology, Information and Internet","Communication, International Tax, Oracle Financials, Payroll Administration, Problem Solving, Tax Compliance, Tax Planning, Tax Provisions, U.S. GAAP Reporting, and Written Communication"
17Jun2024-13:57:27,184,3941416245,Data Management Engineer,Koch Industries,"Bengaluru, Karnataka, India",1 week ago,35 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-13:57:42,184,3938058489,Tech BA,myGwork - LGBTQ+ Business Community,"Bengaluru East, Karnataka, India",2 weeks ago,12 applicants,,,Full-time Entry level,11-50 employees,"Technology, Information and Internet","Business Analysis, Business Requirements, Data Analytics, Data Visualization, Documentation, End-to-End Project Management, Information Risk, Requirements Gathering, Technical Documentation, and User Acceptance Testing"
17Jun2024-13:57:58,184,3928266742,Software Development Engineer,Accenture in India,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,18 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Cluster Analysis, Computer Science, Data Analytics, Data Cleaning, Data Munging, Data Science, Linear Regression, Logistic Regression, Programming Languages, and Software Development"
