date_time,search_count,job_id,job_title,company,location,update_time,applicants,job_time,job_level,job_type,company_size,company_industry,job_details
19Jun2024-15:15:55,250,3914440537,BI Einstein Developer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,93 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"DAX, Dashboards, Data Analytics, Databases, Extract, Transform, Load (ETL), Microsoft Power BI, Oracle SQL Developer, QlikView, SQL Server Analysis Services (SSAS), and Transact-SQL (T-SQL)"
19Jun2024-15:15:57,250,3941417173,Data Management Engineer,Koch Industries,"Bengaluru, Karnataka, India",2 weeks ago,29 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
19Jun2024-15:15:59,250,3920852471,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
19Jun2024-15:16:01,250,3920752522,Data Engineer - 2415D,Enverus,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Software Development,"Apache Spark, Communication, Computer Science, Data Engineering, Data Science, Databases, Extract, Transform, Load (ETL), Query Writing, Responsiveness, and Software Development"
19Jun2024-15:16:03,250,3931123859,Market Data Engineer,Millennium,"Bengaluru, Karnataka, India",Reposted 6 days ago,Over 100 applicants,,,On-site Full-time Entry level,"5,001-10,000 employees",Investment Management,"Amazon Web Services (AWS), Communication, Data Engineering, Data Science, Good Clinical Practice (GCP), Google Cloud Platform (GCP), Internet Protocol Suite (TCP/IP), Linux, Microsoft Azure, and Transmission Control Protocol (TCP)"
19Jun2024-15:16:05,250,3943451373,Data Engineer,Uniphore,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,Full-time Entry level,"501-1,000 employees","Technology, Information and Internet","Data Engineering, Data Manipulation, Data Modeling, Data Models, Data Science, Data Warehousing, Databases, Extract, Transform, Load (ETL), Google Cloud Platform (GCP), and SOAP"
19Jun2024-15:16:07,250,3936811768,Data Scientist,Organic Mandya,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time,201-500 employees,,"Analytics, C++, Data Modeling, Java, Modeling, Predictive Modeling, Programming, Python (Programming Language), Quantitative Analytics, and SQL"
19Jun2024-15:16:09,250,3879332801,Associate - US Analytics & Reporting Admin,AstraZeneca,"Bengaluru East, Karnataka, India",Reposted 6 days ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Pharmaceutical Manufacturing,"Data Modeling, IT Accessibility, Privacy Regulations, Qlik NPrinting, Qlik Sense, Snowflake, Snowflake Cloud, Usability, Veeva, and Veeva CRM"
19Jun2024-15:16:11,250,3934276831,Data Scientist,Concentrix,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Amazon Web Services (AWS), Data Modeling, Data Science, Large Language Models (LLM), Machine Learning, Natural Language Processing (NLP), Python (Programming Language), Scala, and Time Series Analysis"
19Jun2024-15:16:13,250,3921601060,Engineering Tools License Management Specialist,PHINIA,"Bengaluru, Karnataka, India",Reposted 1 week ago,15 applicants,,,Full-time Entry level,"10,001+ employees",Motor Vehicle Manufacturing,"Communication, Dashboards, Data Engineering, Data-driven Decision Making, Driving Results, Identifying Trends, License Management, Negotiation, Problem Solving, and Software Licensing"
