date_time,search_count,job_id,job_title,company,location,update_time,applicants,job_time,job_level,job_type,company_size,company_industry
17Jun2024-00:02:51,186,3940796023,Anamoly Detection Engineer,CognoticAI LLC.,"Bengaluru, Karnataka, India",2 weeks ago,3 applicants,,,On-site Full-time Entry level,201-500 employees,IT Services and IT Consulting
17Jun2024-00:03:07,186,3933789263,Data Engineer,Alp Consulting Ltd.,"Bengaluru, Karnataka, India",3 weeks ago,45 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Staffing and Recruiting
17Jun2024-00:03:22,186,3933778818,Managed Services -Data Analytics- Data Engineer-Specialist,PwC,"Bengaluru, Karnataka, India",3 weeks ago,77 applicants,,,On-site Full-time Entry level,"10,001+ employees",Professional Services
17Jun2024-00:03:47,186,3920852472,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
17Jun2024-00:04:03,186,3942170414,Managed Services -Data Analytics Specialist - BI Engineer-Specialist,PwC,"Bengaluru, Karnataka, India",1 week ago,35 applicants,,,On-site Full-time Entry level,"10,001+ employees",Professional Services
17Jun2024-00:04:19,186,3932091861,Temp Staff,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",3 weeks ago,0 applicants,,,Full-time Entry level,11-50 employees,"Technology, Information and Internet"
17Jun2024-00:04:34,186,3941415304,Data Management Engineer,Koch Industries,"Bengaluru, Karnataka, India",1 week ago,33 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
17Jun2024-00:04:55,186,3920462864,Asc Specialist Data Analytics,,,,,,,On-site Full-time Entry level,"10,001+ employees",Financial Services
17Jun2024-00:05:11,186,3931634362,"Sr Coordinator, Data Management",Cardinal Health,"Bengaluru, Karnataka, India",3 weeks ago,44 applicants,,,Full-time Entry level,"10,001+ employees",Hospitals and Health Care
17Jun2024-00:05:26,186,3930181739,"Sr Coordinator, Data Management",Cardinal Health,"Bengaluru, Karnataka, India",Reposted 5 days ago,55 applicants,,,Full-time Entry level,"10,001+ employees",Hospitals and Health Care
17Jun2024-00:05:51,186,3920852471,Data Engineer,,,,,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
17Jun2024-00:06:12,186,3914443057,Data Engineer,,,,,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
17Jun2024-00:06:33,186,3914443056,Data Engineer,,,,,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
17Jun2024-00:06:48,186,3914442162,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
17Jun2024-00:07:04,186,3914441489,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 3 days ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
17Jun2024-00:07:19,186,3914439627,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
17Jun2024-00:07:35,186,3914437969,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
17Jun2024-00:07:51,186,3937338721,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
17Jun2024-00:08:07,186,3937901933,Managed Services -Data Analytics Specialist - BI Engineer-Specialist,PwC,"Bengaluru, Karnataka, India",2 weeks ago,85 applicants,,,On-site Full-time Entry level,"10,001+ employees",Professional Services
17Jun2024-00:08:23,186,3933787712,Managed Services -Data Analytics Specialist - BI Engineer-Specialist,PwC,"Bengaluru, Karnataka, India",3 weeks ago,55 applicants,,,On-site Full-time Entry level,"10,001+ employees",Professional Services
17Jun2024-00:08:38,186,3941412822,Data Management Engineer,Koch Industries,"Bengaluru, Karnataka, India",1 week ago,29 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
